FILENAME,Filename French,Filename English v.2.1,Excluded in the article,Name,Nb inputs,Fq DKO,Fq DKN,Fq TOT,% DKO,% DKN,% TOT,Nb Names,Modal name,Fq modal name,% Name Agreement (/Fq inputs),% Name Agreement (/Fq names),Nb diff names,H-value,Category 1-resp,Nb category,Modal category,Fq modal category,% Category Agreement,Hcat-value,Familiarity,Fam_Nb_inputs,Fam_Mean,Fam_StDev,Visual Complexity,Nb inputs,Mean,StDev,Object Agreement,Nb inputs,Mean,StDev,Viewpoint Agreement,Nb inputs,Mean,StDev,Manipulability,Nb inputs,Mean,StDev
cardboardbox,boite_de_carton,cardboardbox,,,39,0,0,0,0%,0%,0%,39,box,23,59%,59%,8,1.94,,38,others,16,42%,2.07,,39,4.08,1.13,,39,1.69,0.98,,32,3.97,0.78,,32,3.72,1.05,,32,2.38,1.29
carkey,deverrouilleur_a_distance,carkeys,,,38,0,0,0,0%,0%,0%,38,car keys,25,66%,66%,8,1.73,,38,others,19,50%,1.99,,39,4.15,1.04,,39,2.44,1.17,,33,3.94,1.22,,33,3.82,1.21,,33,3.15,1.58
carrot01,carotte,carrot01,,,39,0,0,0,0%,0%,0%,39,carrot,38,97%,97%,2,0.17,,38,Food,31,82%,0.69,,38,4.39,0.92,,38,1.87,1.04,,33,3.91,1.18,,33,3.39,1.32,,33,2.12,1.49
carwashmitt,mitaine_de_lavage,carwashmitten,yes,,39,2,8,2,5%,21%,5%,27,car wash mitt,4,10%,15%,19,4.01,,35,Householdarticles&cleaners,13,37%,2.27,,36,3.44,1.40,,37,2.59,1.36,,,,,,,,,,,,
cassettetape01a,cassette_audio01a,cassettetape01a,,,38,0,0,1,0%,0%,3%,37,cassette tape,13,34%,35%,7,2.25,,38,Electronic devices&accessories,31,82%,0.98,,38,4.29,1.16,,38,2.84,1.26,,33,4.58,0.94,,33,3.61,1.46,,32,2.34,1.45
cauliflower01,chou-fleur,cauliflower01,,,39,0,1,1,0%,3%,3%,37,cauliflower,35,90%,95%,3,0.36,,39,Food,31,79%,0.73,,38,4.42,1.00,,38,2.47,1.11,,33,4.33,0.78,,33,3.97,1.19,,33,1.21,0.48
caulking,tube_de_scellant,caulking,,,39,4,11,0,10%,28%,0%,24,caulking,10,26%,42%,12,2.95,,36,Handlabourtools&accessories,25,69%,1.15,,37,3.32,1.56,,37,2.30,1.15,,32,4.09,1.15,,32,4.09,1.09,,32,1.91,1.06
cclamp,serre-planche,clamp,,,35,1,14,1,3%,40%,3%,19,clamp,6,17%,32%,7,2.47,,33,Handlabourtools&accessories,28,85%,0.90,,34,3.00,1.61,,33,2.55,1.12,,31,3.06,1.71,,32,3.06,1.50,,32,2.09,1.25
cd,disque_laser,cd,,,39,0,0,0,0%,0%,0%,39,cd,36,92%,92%,4,0.51,,39,Electronic devices&accessories,33,85%,0.91,,38,4.71,0.65,,38,2.66,1.34,,32,4.34,1.04,,32,4.16,1.17,,32,2.50,1.55
celery,celeri,celery,,,39,0,3,0,0%,8%,0%,36,celery,36,92%,100%,1,0.00,,38,Food,28,74%,0.95,,39,4.36,0.99,,39,2.21,1.03,,32,4.22,1.13,,32,4.16,1.17,,32,1.47,0.95
cellphone,telephone_cellulaire,cellphone,,,39,0,0,0,0%,0%,0%,39,cell phone,33,85%,85%,6,0.97,,38,Electronic devices&accessories,35,92%,0.47,,39,4.38,1.02,,38,3.32,1.36,,33,4.03,1.19,,33,3.76,1.41,,33,3.94,1.34
chain01,chaine,chain01,,,39,0,1,0,0%,3%,0%,38,chain,36,92%,95%,2,0.30,,39,others,17,44%,2.52,,39,3.49,1.37,,39,2.15,1.01,,33,3.94,1.25,,32,3.69,1.09,,33,2.24,1.23
chalk,craie,chalk,,,39,5,2,0,13%,5%,0%,32,chalk,32,82%,100%,1,0.00,,33,Stationary&schoolsupplies,29,88%,0.71,,38,3.66,1.60,,38,1.66,0.94,,32,4.31,0.97,,33,3.94,1.22,,33,2.58,1.46
chalkboard01,tableau_d_ardoise,chalkboard01,,,38,2,5,0,5%,13%,0%,31,chalkboard,11,29%,35%,9,2.40,,36,Stationary&schoolsupplies,21,58%,1.80,,38,3.45,1.50,,38,1.89,0.92,,33,3.70,1.45,,33,3.24,1.46,,33,2.21,1.27
chalkboarderaser01,brosse_a_tableau,chalkboarderaser,,,39,2,0,0,5%,0%,0%,37,eraser,9,23%,24%,11,3.07,,36,Stationary&schoolsupplies,25,69%,1.54,,38,3.97,1.35,,37,2.32,1.18,,32,4.28,0.99,,32,3.25,1.37,,32,3.28,1.42
champagne,bouteille_de_champagne,champagne,,,39,0,0,0,0%,0%,0%,39,champagne,16,41%,41%,6,2.27,,39,Food,27,69%,1.44,,39,4.26,1.09,,39,2.67,1.30,,33,4.39,1.03,,33,4.52,0.80,,33,3.24,1.64
cheeseknife01,couteau_a_fromage01,cheeseknife,yes,,38,10,8,0,26%,21%,0%,20,butter knife,8,21%,40%,7,2.34,,30,Kitchen&utensils,14,47%,2.10,,34,3.06,1.48,,35,2.43,1.07,,33,3.33,1.59,,33,3.64,1.22,,33,2.64,1.43
cherry01,cerises,cherry01,,,39,0,0,0,0%,0%,0%,39,cherries,39,100%,100%,1,0.00,,39,Food,34,87%,0.55,,39,4.56,0.79,,39,2.56,1.19,,32,4.16,0.95,,32,4.47,0.88,,32,1.53,0.98
chessboard,jeu_d'echec,chessboard,,,38,0,0,0,0%,0%,0%,38,chess board,13,34%,34%,5,2.02,,39,Gamestoys&entertainment,37,95%,0.34,,39,4.15,1.06,,39,3.77,1.37,,33,4.36,0.99,,33,4.48,1.12,,33,2.82,1.53
chisel02b,ciseau_a_bois02b,chisel02b,,,38,3,18,0,8%,47%,0%,17,chisel,9,24%,53%,6,1.94,,35,Handlabourtools&accessories,30,86%,0.87,,37,3.11,1.56,,37,2.08,0.95,,30,3.93,1.20,,30,3.80,1.16,,30,2.70,1.37
chocolatefonduedish,Plat_a_fondu,chocolatefonduedish,yes,,39,2,9,1,5%,23%,3%,27,fondue dish,4,10%,15%,18,3.96,,34,Kitchen&utensils,19,56%,1.82,,35,3.26,1.52,,37,2.46,1.19,,,,,,,,,,,,
christmasball,boule_de_noel,christmasball,,,32,0,4,1,0%,13%,3%,27,christmas ball,10,31%,37%,8,2.55,,39,Decoration&gift accessories,33,85%,0.81,,39,4.05,1.17,,39,2.36,1.25,,31,4.42,0.96,,31,4.23,0.99,,31,2.26,1.39
