FILENAME,Filename English v.2.1,Dataset,Name,Nb inputs,Fq DKO,Fq DKN,Fq  TOT,% DKO,% DKN,% TOT,Nb names,Modal name,Fq modal name,% Name Agreement (/Fq inputs),% Name Agreement (/Fq names),Nb diff names,H-value,Category 2-resp,Nb category (answer1),Nb category (answer2),Nb category (all answers),Modal category,Fq (answer1),Fq (answer2),% Category Agreement,% Category Agreement (all answers),Hcat-value,Familiarity,Fam_Nb_inputs,Fam_Mean,Fam_StDev,Visual Complexity,Nb inputs,Mean,StDev,Object Agreement,Nb inputs,Mean,StDev,Viewpoint Agreement,Nb inputs,Mean,StDev,Manipulability,Nb inputs,Mean,StDev
atm,atm,BOSS-2014 (v.2),,42,0,0,0,0%,0%,0%,42,Atm,20,48%,48%,5,1.58,,33,5,38,Electronic device & accessory,19,1,58%,53%,1.49,,42,4.71,0.67,,42,2.74,1.33,,,,,,,,,,34,3.74,1.05
audiocablesplitter,audiocablesplitter,BOSS-2014 (v.2),,42,3,5,2,7%,12%,5%,32,Cable,3,7%,9%,24,4.45,,32,0,32,Electronic device & accessory,30,0,94%,94%,0.4,,42,3.95,1.15,,41,1.78,0.85,,,,,,,,,,34,1.85,1.02
avcable,avcable,BOSS-2010 (v.1),,,,,,,,,,,,,,,,,33,0,33,Electronic device & accessory,30,0,91%,91%,0.58,,,,,,,,,,,,,,,,,,,,
avocado01,avocado01,BOSS-2010 (v.1),,,,,,,,,,,,,,,,,33,0,33,Food,33,0,100%,100%,0,,,,,,,,,,,,,,,,,,,,
awning,awning,BOSS-2014 (v.2),,42,0,14,6,0%,33%,14%,22,Awning,13,31%,59%,7,1.91,,32,0,32,Building infrastructure,27,0,84%,84%,0.93,,41,4.15,1.04,,41,1.9,0.74,,,,,,,,,,34,1.85,1.1
axe01,axe01,BOSS-2010 (v.1),,,,,,,,,,,,,,,,,33,0,33,Hand labour tool & accessory,31,0,94%,94%,0.39,,,,,,,,,,,,,,,,,,,,
backfloat,backfloatie,BOSS-2014 (v.2),,41,18,4,1,44%,10%,2%,18,Floatation device for child,2,5%,11%,16,3.95,,32,1,33,Outdoor activity & sport item,14,1,44%,45%,1.62,,37,2.73,1.39,,38,2.39,1,,,,,,,,,,29,2.28,1.31
backpack01a,backpack01a,BOSS-2010 (v.1),,,,,,,,,,,,,,,,,33,2,35,Outdoor activity & sport item,20,0,61%,57%,1.6,,,,,,,,,,,,,,,,,,,,
bacon,bacon,BOSS-2014 (v.2),,42,0,2,1,0%,5%,2%,39,Bacon,30,71%,77%,4,1.01,,33,1,34,Food,32,1,97%,97%,0.2,,42,4.4,1.06,,42,2.05,1.17,,32,3.78,1.36,,32,4.03,1.26,,34,2,1.3
nametag01a,badge01a,BOSS-2014 (v.2),,42,0,1,5,0%,2%,12%,36,Name tag,12,29%,33%,18,3.43,,32,0,32,Stationary & school supply,16,0,50%,50%,2.32,,42,4.4,0.96,,42,1.83,0.76,,,,,,,,,,33,2.64,1.43
badger,badger,BOSS-2014 (v.2),,42,1,10,3,2%,24%,7%,28,Badger,15,36%,54%,10,2.37,,33,0,33,Mammal,33,0,100%,100%,0,,41,3.22,1.19,,41,3.37,1.26,,,,,,,,,,34,1.53,0.96
badmintonracket,badmintonracket,BOSS-2014 (v.2),,42,0,0,0,0%,0%,0%,42,Badminton Racket,32,76%,76%,4,1.12,,33,2,35,Outdoor activity & sport item,31,2,94%,94%,0.33,,42,4.33,0.9,,42,2.05,0.94,,32,4.31,1.09,,32,4,1.16,,34,3.94,0.81
bag,bag,BOSS-2010 (v.1),,,,,,,,,,,,,,,,,33,1,34,Stationary & school supply,11,1,33%,35%,2.56,,,,,,,,,,,,,,,,,,,,
bagel01,bagel,BOSS-2010 (v.1),,,,,,,,,,,,,,,,,32,0,32,Food,32,0,100%,100%,0,,,,,,,,,,,,,,,,,,,,
bagofpowder,bagofpowder,BOSS-2010 (v.1),,,,,,,,,,,,,,,,,32,4,36,Food,23,0,72%,64%,1.62,,,,,,,,,,,,,,,,,,34,1.5,1.29
bagtie,bagtie,BOSS-2010 (v.1),,,,,,,,,,,,,,,,,32,2,34,Kitchen & utensil,18,0,56%,53%,2.02,,,,,,,,,,,,,,,,,,34,2.29,1.34
baguette01,baguette01,BOSS-2010 (v.1),,,,,,,,,,,,,,,,,33,0,33,Food,33,0,100%,100%,0,,,,,,,,,,,,,,,,,,,,
balalaika,balalaika,BOSS-2014 (v.2),,42,4,14,1,10%,33%,2%,23,Guitar,7,17%,30%,10,2.87,,32,0,32,Musical instrument,31,0,97%,97%,0.2,,41,2.93,1.44,,41,2.54,1.16,,,,,,,,,,34,2.97,1.36
balcony02,balcony02,BOSS-2014 (v.2),,42,2,1,1,5%,2%,2%,38,Balcony,27,64%,71%,10,1.74,,33,2,35,Building infrastructure,32,0,97%,91%,0.2,,41,4.2,1.01,,41,2.39,1.07,,32,3.16,1.39,,31,3.58,1.26,,34,1.79,1.15
ball02,ball02,BOSS-2010 (v.1),,,,,,,,,,,,,,,,,33,2,35,Gamestoy & entertainment,19,0,58%,54%,1.61,,,,,,,,,,,,,,,,,,,,
ballofstring,ballofstring,BOSS-2014 (v.2),,42,2,4,4,5%,10%,10%,32,string,10,24%,31%,14,3.2,,33,1,34,Household article & cleaner,10,1,30%,32%,2.58,,42,3.95,1.1,,41,2.02,0.88,,,,,,,,,,33,2.18,1.21
balloon01b,balloon01b,BOSS-2010 (v.1),,,,,,,,,,,,,,,,,33,0,33,Decoration & gift accessory,20,0,61%,61%,1.36,,,,,,,,,,,,,,,,,,,,
banana01,banana01,BOSS-2010 (v.1),,,,,,,,,,,,,,,,,33,1,34,Food,32,0,97%,94%,0.2,,,,,,,,,,,,,,,,,,,,
bandage,bandage,BOSS-2010 (v.1),,,,,,,,,,,,,,,,,33,1,34,Medical instrument & accessory,28,0,85%,82%,0.82,,,,,,,,,,,,,,,,,,,,
bandaid01,bandaid01,BOSS-2010 (v.1),,,,,,,,,,,,,,,,,32,3,35,Medical instrument & accessory,17,3,53%,57%,1.48,,,,,,,,,,,,,,,,,,,,
banjo,banjo,BOSS-2014 (v.2),,42,0,3,2,0%,7%,5%,37,banjo,35,83%,95%,3,0.36,,33,0,33,Musical instrument,33,0,100%,100%,0,,42,4.07,1.07,,42,2.79,1.24,,32,4.09,1.12,,32,3.03,1.26,,34,3.62,1.18
barbedwire01,barbwire01,BOSS-2014 (v.2),,42,0,3,1,0%,7%,2%,38,barbed wire,26,62%,68%,6,1.5,,32,0,32,Building infrastructure,20,0,63%,63%,1.43,,42,4.05,1.17,,42,2.55,1.31,,32,3.84,1.17,,32,3.97,1.18,,34,2.06,1.07
chime,barchime,BOSS-2014 (v.2),,42,1,13,4,2%,31%,10%,24,chimes,16,38%,67%,4,1.27,,33,2,35,Musical instrument,31,0,94%,89%,0.33,,41,3.8,1.05,,41,2.24,0.94,,,,,,,,,,34,2.76,1.1
barn,barn,BOSS-2014 (v.2),,42,0,0,1,0%,0%,2%,41,Barn,29,69%,71%,9,1.68,,33,0,33,Building infrastructure,32,0,97%,97%,0.2,,42,4,0.96,,42,2.55,1.23,,32,3.53,1.37,,32,3.75,1.24,,34,1.47,0.99
barnowl,barnowl,BOSS-2014 (v.2),,42,0,0,1,0%,0%,2%,41,owl,40,95%,98%,2,0.17,,33,1,34,Bird,33,0,100%,97%,0,,42,4.43,0.8,,42,3.33,1.43,,32,4.06,0.88,,32,3.94,1.22,,34,1.91,1.24
barrel01,barrel01,BOSS-2014 (v.2),,42,0,0,0,0%,0%,0%,42,barrel,36,86%,86%,5,0.87,,33,2,35,Furniture,12,1,36%,37%,2.88,,42,4.14,1.05,,42,2.07,1.13,,32,4.13,1.13,,32,4.09,1.2,,34,1.76,0.99
baseball01a,baseball01a,BOSS-2010 (v.1),,,,,,,,,,,,,,,,,33,3,36,Outdoor activity & sport item,24,3,73%,75%,0.85,,,,,,,,,,,,,,,,,,,,
